Destination,District,Timespan,Review
"St. Anthony's Shrine, Kochchikade",colombo,2 years ago,visited first time aril bomb brought tears eyes place restored nicely thought people dead always
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,people comes everyday walks life praying intercession saint anchovy struggles issues place spiritual powerhouse human prays trust god servant saint anchovy
"St. Anthony's Shrine, Kochchikade",colombo,a year ago,great job painting alter beautiful windows best visit mass
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,sad reminder times live however important remember forgive rebuild came within one year post horrific bomb blast misguided soul last master claiming lives known
"St. Anthony's Shrine, Kochchikade",colombo,5 years ago,one miraculous church colombo
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,best church colombo parties catholic buddhist museums comes pay owes ask miracles happen problems pains much blessed miraculous place
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,entrance exits either side make sure walk right one things change master overall miracle place brings people world worship
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,anchovy pray us bless
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,master church renovated sri lanka direction church work completed within short time period see damage took place aril boom blast
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,blessings anchovy need thank jess glory must pray thank every day god bless country world
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,people ethnic backgrounds worshipping prayer thanks personally prayers answered lord
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,one holistic blessed church sri people get blessings special blessings worship really beautiful crowed placement go get special blessings bless
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,sri lanka catholic proud mufti worshippers country recovered soon bomb blast master sundae good visit antonym pray us god bless
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,holy place ideal worship catholic church book shop well prayer books hymn books tail languages available along catholic
"St. Anthony's Shrine, Kochchikade",colombo,4 months ago,place follow spiritual peace
"St. Anthony's Shrine, Kochchikade",colombo,2 years ago,one famous catholic sri lanka church muslin terrorists year church severely damaged feast held tune every year dedicated papua
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,give heard many miracle story church visitors quite finance arrive church heard tell name loud echoed inside church one heard
"St. Anthony's Shrine, Kochchikade",colombo,5 years ago,fully packed time
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,last visited church maundy days gruesome master sundae terrorist walk inside church get emotional feel cries innocents came worship met untimely death
"St. Anthony's Shrine, Kochchikade",colombo,2 years ago,one popular catholic sri lanka antonym church popular even among people visit pray give also one oldest church island master bad memory inhuman brought church name international media
"St. Anthony's Shrine, Kochchikade",colombo,2 years ago,sacred place gives us experience love also gain hope hardest days ample space walk around sufficient parking sides road high security must visit place
"St. Anthony's Shrine, Kochchikade",colombo,4 months ago,calm peaceful place
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,mass sat calm silent place
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,one holy catholic church colombo also visit pray special prayer day popular beautiful
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,church looks even beautiful looking place find peace within antonym ideal place
"St. Anthony's Shrine, Kochchikade",colombo,a year ago,peoples religions visiting church old famous among many local peoples
"St. Anthony's Shrine, Kochchikade",colombo,2 years ago,night lights would see even
"St. Anthony's Shrine, Kochchikade",colombo,5 months ago,calm place visit
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,restoring church getting reopen church public worship tune procession anchovy take place due security reasons however con celebrated high mass offered morning mark antonym feast
"St. Anthony's Shrine, Kochchikade",colombo,a month ago,feel soul full holiness
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,one oldest churches colombo welcome church
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,big security cordon nearby parking limited often rain around place prepared soaked rain splashed passing traffic dirty water
"St. Anthony's Shrine, Kochchikade",colombo,6 years ago,famous church sri lanka people religions used come make prayers believed miracles happened keep hopes festival season places crowded rerouted traffics almost roads region
"St. Anthony's Shrine, Kochchikade",colombo,a year ago,visited blast happened well renovated blasts got chance visit
"St. Anthony's Shrine, Kochchikade",colombo,5 years ago,catholic dedicated anchovy
"St. Anthony's Shrine, Kochchikade",colombo,5 years ago,catholic church dedicated wanton church call always full catholic non catholic church offer sup poor daily meals respect manner popular land mark
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,beautifully renovated thank forces worked tirelessly part man hovering around targeting certain people rude upsets people come church worship
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,place everyone literally even non catholic attends mass yeah big day antonym get bit hectic traffic visit day
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,anchovy many several churches erected honor popular attracts people every race every corner society church anchovy
"St. Anthony's Shrine, Kochchikade",colombo,5 months ago,holy church go pray faith
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,visited antonym church every years anchovy help lot blessings achieve goals family well
"St. Anthony's Shrine, Kochchikade",colombo,a year ago,simple catholic church security entrance buy candles church available expensive inside
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,sacred place people sacrificed life name aril church reopened renovations sri lanka tune place miracles
"St. Anthony's Shrine, Kochchikade",colombo,5 months ago,best famous place clomp
"St. Anthony's Shrine, Kochchikade",colombo,5 years ago,one miraculous famous catholic church every day non visiting place spiritual needs busiest day week
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,one holy place loving sri lanka world blessings shower country new hope love
"St. Anthony's Shrine, Kochchikade",colombo,a year ago,usual office crowd back seats due local security covered entrance exit serious like last year blessed get church parking
"St. Anthony's Shrine, Kochchikade",colombo,a year ago,holy miraculous saint anchovy papua located sri lanka
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,calm heart capital city colombo located along way gall road admired people
"St. Anthony's Shrine, Kochchikade",colombo,5 years ago,visited roman catholic colombo visited also non catholic respect well especially annual first known blessings faithful
"St. Anthony's Shrine, Kochchikade",colombo,a year ago,favorite saint place  every year never forget visit birthday get blessing
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,atmosphere sermons
"St. Anthony's Shrine, Kochchikade",colombo,5 years ago,catholic church known significant sri lanka massive crowds come prayers famous miracles difficult find parking getting around tub  best day busiest doesn't like crowds best
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,sri lanka anchovy many several churches erected honor popular one daily attracts people every cast creed race one heart city
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,rebuilt front wooden candle place also left bell tower walled sad see church used go time pray wish state like
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,daily masses expect first money quite place pray holy sacrament available throughout day experience antonym miracle
"St. Anthony's Shrine, Kochchikade",colombo,5 years ago,one famous divine destinations colombo built long time ago roman catholic church also visited non roman catholic first time
"St. Anthony's Shrine, Kochchikade",colombo,5 years ago,church love way built recently done reasonable seams church clean
"St. Anthony's Shrine, Kochchikade",colombo,5 years ago,one greatest town many miracles well prefer go around less crowd pray peacefully
"St. Anthony's Shrine, Kochchikade",colombo,6 years ago,great place worship god lots miracles place thanks god name jess thank anchovy pray us name jess
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,colombo miraculous powerful saint people walks life come intentions pray devoutly
"St. Anthony's Shrine, Kochchikade",colombo,5 years ago,usually churches display time would open exception closing time fixed days actually became impossible surging crowd anchovy
"St. Anthony's Shrine, Kochchikade",colombo,a year ago,peaceful place loved holy place ever since child
"St. Anthony's Shrine, Kochchikade",colombo,a year ago,peace full place
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,one colombo center used go early morning mass prayers came feel fresh positive mind
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,church dedicated anchovy catholic powerful people religions go asking gods blessings
"St. Anthony's Shrine, Kochchikade",colombo,5 months ago,holy lot blessings
"St. Anthony's Shrine, Kochchikade",colombo,a year ago,holy catholic church busy sundae calm relaxing place days silently pray
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,really great antonym see many people even little much faith love great saint really loved
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,attend services antonym sometimes church sri lanka worshipers bomb blast last master
"St. Anthony's Shrine, Kochchikade",colombo,5 years ago,one famous roman catholic church colombo sri lanka lots pilgrimages  coming different province n stay feast every tune celebrating antonym feast tune flag n celebrating feast
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,miraculous place catholic non place bombed killing innocent
"St. Anthony's Shrine, Kochchikade",colombo,5 years ago,sri lanka anchovy many several churches erected honor popular one daily attracts people every cast creed race one heart city
"St. Anthony's Shrine, Kochchikade",colombo,6 years ago,one miraculous world place worship non catholic well even date anchovy performs miracles believe
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,great place worship among almost ethnic groups services three main languages tail
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,place great love respect place honored many people community become famous throughout world place many miracles
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,place worship dedicated saint followed jess could find jess planet earth support lives give number jess
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,say best place go meet pray every go prayers really helps god good time god bless
"St. Anthony's Shrine, Kochchikade",colombo,2 years ago,place worship prayer one important historical churches sri lanka
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,beautiful church 'll always full people church special day church first month special church
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,busy place beautiful site sri lanka everyday mass sturdy mass
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,developed master many miracles praying best u go see crowd coming asking miracles life
"St. Anthony's Shrine, Kochchikade",colombo,5 years ago,antonym famous roman catholic church roman catholic archdiocese colombo sri lanka church located dedicated anchovy papua church national
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,holy place wish thing anchovy grants mediation may god bless
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,old building structure nice place
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,serene well worth user
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,place visit pay tribute us may god families friends
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,place calm even located next busy street u buy candles next place u light candles
"St. Anthony's Shrine, Kochchikade",colombo,2 weeks ago,nice place
"St. Anthony's Shrine, Kochchikade",colombo,2 years ago,beautifully renovated following master sundae bombing new safer well maintained ample well
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,great church go
"St. Anthony's Shrine, Kochchikade",colombo,4 months ago,good ice cream please
"St. Anthony's Shrine, Kochchikade",colombo,3 months ago,really beautiful church
"St. Anthony's Shrine, Kochchikade",colombo,a year ago,may lot blessings church overview ago head colombo back colombo horror
"St. Anthony's Shrine, Kochchikade",colombo,2 weeks ago,divine church colombo
"St. Anthony's Shrine, Kochchikade",colombo,7 years ago,one miraculous sri lanka church anchovy venerated saint catholic congregation sri lanka lot non also visit pray heresy anchovy pray us
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,one beautiful sites colombo dates back massive damage one serial bomb blasts occurred aril master sundae
"St. Anthony's Shrine, Kochchikade",colombo,5 months ago,anchovy papua pray us
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,antonym shine colombo
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,tour colombo adventures tours travels
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,historical temple proud temples sri lanka better visit temple least colombo
"St. Anthony's Shrine, Kochchikade",colombo,7 years ago,believe famous catholic church sri lanka famous miracles lots used come
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,sacred place matter standing strong gods blessings visit feel
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,one holiest catholic sri lanka heartwarming witness activities personnel
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,heart touching place prayed souls time bomb blast doesn't happened part world moments
"St. Anthony's Shrine, Kochchikade",colombo,2 years ago,visited first time dreaded terrorists sorry people lost lives feeling angry present government misleading public
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,death extinguishing light putting lamp dawn come forever hearts
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,blessed place special morning mass tail
"St. Anthony's Shrine, Kochchikade",colombo,5 years ago,best place relax mind god bless
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,popular church sri lanka people also went get blessings miracles also happening
"St. Anthony's Shrine, Kochchikade",colombo,a year ago,roman catholic church antonym feel relaxed blessing happy
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,antonym colombo visiting colombo must visit place ask anchovy miraculous church
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,good place worship
"St. Anthony's Shrine, Kochchikade",colombo,7 months ago,ever world heart roaming
"St. Anthony's Shrine, Kochchikade",colombo,a year ago,powerful place  hopes trouble helped anchovy church beautiful church
"St. Anthony's Shrine, Kochchikade",colombo,2 years ago,fully secured police body go worship
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,nicely rebuilt aril blast must visit blessings
"St. Anthony's Shrine, Kochchikade",colombo,a year ago,land mark colombo place world people come pray owned people
"St. Anthony's Shrine, Kochchikade",colombo,2 years ago,must visit pleasant peaceful place good people relieve spiritual feel
"St. Anthony's Shrine, Kochchikade",colombo,5 months ago,relaxing place
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,one favorite make wish definitely pray
"St. Anthony's Shrine, Kochchikade",colombo,2 years ago,safe visit sri lanka army assured hours security
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,old roman catholic church place pilgrims place miracles happen best place get blessings beautiful paintings peaceful inside
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,beautiful crowded good security vehicle parking little problem park opposite side x roads
"St. Anthony's Shrine, Kochchikade",colombo,a year ago,place awesome ya impressed entrance security check impressive
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,one big catholic church touched sea line
"St. Anthony's Shrine, Kochchikade",colombo,a year ago,holy place god bless everyone visits place prays
"St. Anthony's Shrine, Kochchikade",colombo,2 years ago,peaceful place believe catholic please pray sure get
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,big popular church people went get blessings church
"St. Anthony's Shrine, Kochchikade",colombo,2 years ago,sacred catholic make vows  sacred power
"St. Anthony's Shrine, Kochchikade",colombo,5 years ago,famous catholic church sri lanka situated colombo people  visiting
"St. Anthony's Shrine, Kochchikade",colombo,a year ago,blessed place offer difficulties step empty hands tons blessings
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,one best church city located near port lot people crowds special masses special church
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,shrines antonym helps every person move believe lord asked
"St. Anthony's Shrine, Kochchikade",colombo,2 years ago,wish place sacred appearance like childish drawings completely ruined
"St. Anthony's Shrine, Kochchikade",colombo,2 years ago,say visited church must visit place least life time
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,one catholic sri lanka usually crowded first month
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,famous catholic stood obstacle worshipping irrespective sacred place one visit life time
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,services activities conduct usual today
"St. Anthony's Shrine, Kochchikade",colombo,4 months ago,observe god
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,renovated visit good church feels clam
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,great place worship popular among many dedicated papua may god bless
"St. Anthony's Shrine, Kochchikade",colombo,2 years ago,one favorite times year visit
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,beautiful church bordering colombo harbor church renovated recently
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,one leading churches sri lanka many catholic non catholic worship place
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,holy miracle worker showers blessings lord jess intercession blessed virgin many anchovy
"St. Anthony's Shrine, Kochchikade",colombo,2 years ago,renovated bomb years ago gradually pilgrims start gathering
"St. Anthony's Shrine, Kochchikade",colombo,3 years ago,love anchovy gods appointed saint helped much life
"St. Anthony's Shrine, Kochchikade",colombo,3 months ago,good place
"St. Anthony's Shrine, Kochchikade",colombo,a year ago,one beautiful catholic churches sri lanka
"St. Anthony's Shrine, Kochchikade",colombo,4 years ago,place love prayers always antonym pray us dear antonym
St. Lucia's Cathedral,colombo,4 months ago,distance colombo fort railway station cathedral roman catholic church located locality colombo cathedral oldest largest parish cathedral sri lanka among
St. Lucia's Cathedral,colombo,2 months ago,place reminds cathedral india like every church calm place reflect pray however hot weather body temperature automatically cool church undergoing work hopefully new look soon
St. Lucia's Cathedral,colombo,6 months ago,favorite church love everything expect location
St. Lucia's Cathedral,colombo,4 months ago,always brings peace mind visiting cathedral something quite special cathedral contains holy relics lucia
St. Lucia's Cathedral,colombo,8 months ago,cathedral seat roman catholic archdiocese colombo sri lanka
St. Lucia's Cathedral,colombo,6 months ago,really big catholic church even pope vatic visited
St. Lucia's Cathedral,colombo,2 years ago,dream mar filarian sob demolition old church nth august new church solemnly blessed opened public nth august mar clement pagan sob building
St. Lucia's Cathedral,colombo,6 months ago,cathedral
St. Lucia's Cathedral,colombo,a year ago,beautiful church ample parking space good weddings church
St. Lucia's Cathedral,colombo,4 years ago,construction go plan however work due lack funds following years saw problems bishop dying come leaving melon
St. Lucia's Cathedral,colombo,4 years ago,cathedral archdiocese colombo believed built order monks boys school hereby takes title college landmark venue standing busy
St. Lucia's Cathedral,colombo,6 months ago,church beautiful history whenever go brings back lots good old memories
St. Lucia's Cathedral,colombo,8 months ago,church ample parking space church holds weddings
St. Lucia's Cathedral,colombo,a year ago,one largest beautiful father bonnie made great changes since becoming parish excited see church made even beautiful
St. Lucia's Cathedral,colombo,a month ago,come back next time see inside
St. Lucia's Cathedral,colombo,a year ago,magnificent picturesque cathedral
St. Lucia's Cathedral,colombo,4 years ago,reminds us peters square apostles holy residence come
St. Lucia's Cathedral,colombo,7 years ago,located old part colombo city building imposing sight guarding car park entrance many iconic figures featured throughout interior cathedral impressive also featured one
St. Lucia's Cathedral,colombo,2 years ago,cathedral catholic church lovely beautiful one beautiful churches sri lanka many statues inside top front fine artwork
St. Lucia's Cathedral,colombo,5 months ago,great cathedral beautiful
St. Lucia's Cathedral,colombo,4 years ago,full blessings today tail retreat father
St. Lucia's Cathedral,colombo,2 years ago,one biggest beautiful church buildings sri lanka cathedral archdiocese colombo oldest cathedral sri lanka dedicated stuck celebrates feast de every year cathedral
St. Lucia's Cathedral,colombo,a month ago,believe first church sri lanka
St. Lucia's Cathedral,colombo,a year ago,one beautiful roman catholic churches sri lanka cathedral regarded church location known tallest building sri lanka early
St. Lucia's Cathedral,colombo,10 years ago,biggest cathedral south aria old place visit specially tourist much keen visiting holy places inside structure well designed satin way makes whole
St. Lucia's Cathedral,colombo,5 years ago,parish built blessed consecrated cathedral age old monumental church sculptures brought parts open individual prayers good fathers help residing nearby rosary stall also available
St. Lucia's Cathedral,colombo,4 years ago,beautiful church sri lanka cathedral colombo feels good walk church even though situated middle colombo
St. Lucia's Cathedral,colombo,3 years ago,lucky whose feast remember venerated world eye trouble beautiful eyes pulled present unwelcome
St. Lucia's Cathedral,colombo,4 years ago,sundae mass times
St. Lucia's Cathedral,colombo,4 years ago,one oldest roman catholic church sri lanka cathedral sri lanka situated heart colombo parking area available ideal peaceful place stay pray mass new years eve masses popular comes festive masses held churches
St. Lucia's Cathedral,colombo,9 months ago,good place sri lanka popular church colombo
St. Lucia's Cathedral,colombo,11 months ago,cathedral details colombo catholic keeping
St. Lucia's Cathedral,colombo,6 years ago,sacred place catholic claimed biggest church sri lanka festival times crowded popular among colombo living people connections antonym church historical
St. Lucia's Cathedral,colombo,4 years ago,nice place alone time
St. Lucia's Cathedral,colombo,a year ago,love cathedral old grew going church child
St. Lucia's Cathedral,colombo,a year ago,easy find cathedral follow googly map
St. Lucia's Cathedral,colombo,5 years ago,lucky whose feast remember venerated world protectorates eye trouble beautiful eyes pulled present
St. Lucia's Cathedral,colombo,8 months ago,peaceful beautiful catholic church
St. Lucia's Cathedral,colombo,5 years ago,good power full holy church nice beautiful
St. Lucia's Cathedral,colombo,5 years ago,best church ever pipe organ massive church gives feeling come
St. Lucia's Cathedral,colombo,3 years ago,beautiful church close live ample parking space good weddings church
St. Lucia's Cathedral,colombo,2 years ago,great place roman catholic worship grand cathedral ample parking well maintained
St. Lucia's Cathedral,colombo,6 years ago,peace full doesn't worship cathedral use grace church weddings walk evening parents friends
St. Lucia's Cathedral,colombo,4 years ago,good atmosphere purpose
St. Lucia's Cathedral,colombo,6 years ago,beautiful structure church calm quite place pray get blessed
St. Lucia's Cathedral,colombo,4 years ago,one churches made famous place majority ordinations happen place obviously nice place visit
St. Lucia's Cathedral,colombo,4 years ago,catholic church dedicated lucia beautiful looks like peters come situated little hill
St. Lucia's Cathedral,colombo,4 years ago,peaceful place redeem feelings
St. Lucia's Cathedral,colombo,5 years ago,example old design big church get good vibes
St. Lucia's Cathedral,colombo,6 years ago,church prayers answered faith mercy never let old alumni
St. Lucia's Cathedral,colombo,3 years ago,historical monument good stained glass panels need see close
St. Lucia's Cathedral,colombo,4 years ago,peaceful holy place
St. Lucia's Cathedral,colombo,5 years ago,love place lot gives awesome feeling style used build massive structure
St. Lucia's Cathedral,colombo,4 years ago,church blessed sacrament powerful hearing prayers
St. Lucia's Cathedral,colombo,4 years ago,nice sacred place
St. Lucia's Cathedral,colombo,3 years ago,beautiful church lot history sadly church looking
St. Lucia's Cathedral,colombo,3 years ago,nice place one oldest cathedral sri lanka
St. Lucia's Cathedral,colombo,a year ago,beautiful church sri lanka colombo
St. Lucia's Cathedral,colombo,3 years ago,one church sri lanka
St. Lucia's Cathedral,colombo,4 years ago,beautiful historic church standing proof mastery old
St. Lucia's Cathedral,colombo,5 years ago,place visit may catholic drop cathedral witness beauty structure
St. Lucia's Cathedral,colombo,4 years ago,cathedral roman catholic archdiocese colombo heart colombo prayerful atmosphere
St. Lucia's Cathedral,colombo,4 years ago,wedding close heart calm peaceful
St. Lucia's Cathedral,colombo,3 years ago,exquisite features fills person awe
St. Lucia's Cathedral,colombo,4 years ago,church nice design however sound system poor quality sermon need maintenance
St. Lucia's Cathedral,colombo,2 years ago,historical place must visit place colombo
St. Lucia's Cathedral,colombo,4 years ago,public road way available public centuries rudely closed church administration master sundae bombing antonym church away
St. Lucia's Cathedral,colombo,6 years ago,cathedral landmark history sri lanka
St. Lucia's Cathedral,colombo,4 years ago,church gets beautiful rival seasons
St. Lucia's Cathedral,colombo,11 months ago,church also pretty church
St. Lucia's Cathedral,colombo,4 years ago,good historic place
St. Lucia's Cathedral,colombo,4 years ago,one largest catholic cathedrals island
St. Lucia's Cathedral,colombo,4 years ago,went age feel mind relax vibrations
St. Lucia's Cathedral,colombo,4 years ago,nice place worships open catholic
St. Lucia's Cathedral,colombo,5 years ago,historical place tourists like
St. Lucia's Cathedral,colombo,6 years ago,one beautiful important church colombo
St. Lucia's Cathedral,colombo,7 months ago,great vibe highly recommended
St. Lucia's Cathedral,colombo,5 years ago,part sri lanka catholic visit place
St. Lucia's Cathedral,colombo,4 years ago,place open us except closed try find open hours go
St. Lucia's Cathedral,colombo,4 years ago,one churches best
St. Lucia's Cathedral,colombo,4 years ago,held thanksgiving commemoration service
St. Lucia's Cathedral,colombo,4 years ago,one cathedral sri lanka
St. Lucia's Cathedral,colombo,4 years ago,one biggest cathedral country classic architects
St. Lucia's Cathedral,colombo,4 years ago,one biggest roman catholic church sri lanka worshippers tail masses languages situated quite calm area compare
St. Lucia's Cathedral,colombo,6 years ago,crowded tour bus visitors get early morning scrum
St. Lucia's Cathedral,colombo,6 years ago,absolutely beautiful great
St. Lucia's Cathedral,colombo,3 years ago,beautiful cathedral
St. Lucia's Cathedral,colombo,4 years ago,worship place catholic calm
St. Lucia's Cathedral,colombo,a year ago,holy place worship
St. Lucia's Cathedral,colombo,3 years ago,beautiful church
St. Lucia's Cathedral,colombo,10 months ago,clam quite lovely place
St. Lucia's Cathedral,colombo,4 years ago,cathedral biggest church country
St. Lucia's Cathedral,colombo,4 years ago,oldest cathedral one best
St. Lucia's Cathedral,colombo,3 years ago,doesn't inside looked fine spacy
St. Lucia's Cathedral,colombo,4 years ago,need common bathroom agent
St. Lucia's Cathedral,colombo,3 years ago,holy place
St. Lucia's Cathedral,colombo,7 years ago,one beautiful churches colombo
St. Lucia's Cathedral,colombo,4 years ago,silence place
St. Lucia's Cathedral,colombo,2 years ago,yeah place release sad problems
St. Lucia's Cathedral,colombo,6 years ago,historical place colombo nice parking place silenced place even colombo
St. Lucia's Cathedral,colombo,7 years ago,one old famous catholic church colombo
St. Lucia's Cathedral,colombo,a year ago,time hear confession
St. Lucia's Cathedral,colombo,4 years ago,beautiful place
St. Lucia's Cathedral,colombo,5 years ago,lord live broadcast cathedral
St. Lucia's Cathedral,colombo,8 months ago,good masterpiece
St. Lucia's Cathedral,colombo,3 years ago,biggest silent place historical church
St. Lucia's Cathedral,colombo,a year ago,nice place peace harmony
St. Lucia's Cathedral,colombo,4 years ago,elegant sacred place
St. Lucia's Cathedral,colombo,4 years ago,nice place
St. Lucia's Cathedral,colombo,3 years ago,love sacred place much
St. Lucia's Cathedral,colombo,4 years ago,peaceful cathedral
St. Lucia's Cathedral,colombo,6 years ago,best place prayer peaceful
St. Lucia's Cathedral,colombo,4 years ago,beautiful church
St. Lucia's Cathedral,colombo,a year ago,vary good
St. Lucia's Cathedral,colombo,4 years ago,church
St. Lucia's Cathedral,colombo,5 years ago,diamond catholic churches colombo
St. Lucia's Cathedral,colombo,4 years ago,place peace
St. Lucia's Cathedral,colombo,3 years ago,cathedral
St. Lucia's Cathedral,colombo,10 months ago,cathedral
St. Lucia's Cathedral,colombo,5 years ago,beautiful church old structure
St. Lucia's Cathedral,colombo,4 years ago,love place
St. Lucia's Cathedral,colombo,4 years ago,calm peaceful place
St. Lucia's Cathedral,colombo,5 years ago,massive
St. Lucia's Cathedral,colombo,4 years ago,god creates place
St. Lucia's Cathedral,colombo,4 years ago,peaceful relaxing place
St. Lucia's Cathedral,colombo,4 years ago,great place spend time
St. Lucia's Cathedral,colombo,4 years ago,food awesome
St. Lucia's Cathedral,colombo,5 years ago,calm place peace mind
St. Lucia's Cathedral,colombo,4 years ago,green held cathedral
St. Lucia's Cathedral,colombo,2 years ago,daily mass
St. Lucia's Cathedral,colombo,3 years ago,largest church
St. Lucia's Cathedral,colombo,5 years ago,prayers
St. Lucia's Cathedral,colombo,4 years ago,love
St. Lucia's Cathedral,colombo,9 months ago,blessed
St. Lucia's Cathedral,colombo,a year ago,peaceful place city
St. Lucia's Cathedral,colombo,11 months ago,device
St. Lucia's Cathedral,colombo,3 years ago,colombo cathedral church
St. Lucia's Cathedral,colombo,3 years ago,nice place worship god
St. Lucia's Cathedral,colombo,6 years ago,peaceful place
St. Lucia's Cathedral,colombo,3 years ago,love go
St. Lucia's Cathedral,colombo,3 years ago,day
St. Lucia's Cathedral,colombo,a year ago,cool
St. Lucia's Cathedral,colombo,3 years ago,peace full place
St. Lucia's Cathedral,colombo,5 years ago,love church
St. Lucia's Cathedral,colombo,4 years ago,center sri lanka
St. Lucia's Cathedral,colombo,3 years ago,plenty parking space
St. Lucia's Cathedral,colombo,4 years ago,cathedral
St. Lucia's Cathedral,colombo,5 years ago,prayer power house
St. Lucia's Cathedral,colombo,4 years ago,parts
St. Lucia's Cathedral,colombo,10 months ago,love place
St. Lucia's Cathedral,colombo,4 years ago,cathedral colombo
St. Lucia's Cathedral,colombo,7 years ago,beautiful church
St. Lucia's Cathedral,colombo,a year ago,good
St. Lucia's Cathedral,colombo,3 years ago,good spiritual place
St. Lucia's Cathedral,colombo,4 years ago,bishops church
St. Lucia's Cathedral,colombo,7 years ago,nice church
St. Lucia's Cathedral,colombo,5 years ago,cathedral
St. Lucia's Cathedral,colombo,3 years ago,nice place
St. Lucia's Cathedral,colombo,6 years ago,beautiful calm
St. Lucia's Cathedral,colombo,4 years ago,great cathedral
St. Lucia's Cathedral,colombo,4 years ago,clarity place
St. Lucia's Cathedral,colombo,4 years ago,nice
St. Lucia's Cathedral,colombo,4 years ago,get blessing
St. Lucia's Cathedral,colombo,4 years ago,wedding mass
